Model,Complectation,Price,VIN,Milege,Power,Date,ID
Q7,45 TFSI 2.0 AT (252 л.с.) 4WD,10180000,XW8**************,9000,252,2022-10-04 05:55:54,1116982480
Q7,60 TFSI e 3.0hyb AT (456 л.с.) 4WD,10410000,XW8**************,8000,456,2022-09-23 04:07:19,1116878236
Q7,45 TDI 3.0d AT (249 л.с.) 4WD,11340000,XW8**************,20000,249,2022-09-28 02:39:06,1116926883
Q7,45 TDI 3.0d AT (249 л.с.) 4WD,10910000,WAU**************,2000,249,2022-08-29 08:12:40,1116291567
Q7,60 TFSI e 3.0hyb AT (456 л.с.) 4WD,9610000,XW8**************,9000,456,2022-07-01 08:55:17,1116096757
Q7,45 TFSI 2.0 AT (252 л.с.) 4WD,11690000,WAU**************,4000,252,2022-08-30 10:18:08,1116654607
Q7,45 TFSI 2.0 AT (252 л.с.) 4WD,10450000,XW8**************,15000,252,2022-09-28 07:12:28,1116925789
Q7,60 TFSI e 3.0hyb AT (456 л.с.) 4WD,11090000,WAU**************,1000,456,2022-09-24 12:38:32,1116890917
Q7,45 TFSI 2.0 AT (252 л.с.) 4WD,10510000,WAU**************,23000,252,2022-07-21 07:05:07,1116287583
Q7,45 TDI 3.0d AT (249 л.с.) 4WD,10820000,WAU**************,14000,249,2022-06-27 12:54:45,1116058879
Q7,50 TDI 3.0d AT (286 л.с.) 4WD,11650000,XW8**************,6000,286,2022-03-27 11:00:13,1115180208
Q7,45 TDI 3.0d AT (249 л.с.) 4WD,10400000,XW8**************,14000,249,2022-04-05 10:30:56,1115270917
